#关键词	贡献IP次数	百度次数	谷歌次数	搜搜次数	搜狗次数	雅虎次数	其它次数	贡献UV	贡献新UV	最后相关来路	最后来访时间
皇冠系统出租	74	73	0	0	0	0	1	82	76	http://www.baidu.com/s?wd=%BB%CA%B9%DA%CF%B5%CD%B3%B3%F6%D7%E2	2013-1-1 11:52:40
百家乐包杀	22	22	0	0	0	0	0	23	23		2012-12-29 19:55:52
皇冠平台出租	21	21	0	0	0	0	0	22	22	http://www.baidu.com/s?wd=%E7%9A%87%E5%86%A0%E5%B9%B3%E5%8F%B0%E5%87%BA%E7%A7%9F&pn=10&ie=utf-8&usm=1&rsv_page=1	2013-1-1 17:02:05
足球平台出租	8	6	1	0	0	0	1	8	7		2012-12-28 23:23:00
足球投注系统	7	5	1	0	0	0	1	9	6		2012-12-30 16:00:52
投注系统出租	6	5	1	0	0	0	0	6	4		2012-12-19 21:17:37
皇冠足球系统出租	6	6	0	0	0	0	0	7	6	http://www.baidu.com/s?wd=%E7%9A%87%E5%86%A0%E8%B6%B3%E7%90%83%E7%B3%BB%E7%BB%9F%E5%87%BA%E7%A7%9F&rsp=5&f=1&oq=%E8%B6%B3%E7%90%83%E7%BD%91%E5%87%BA%E7%A7%9F&tn=sitehao123&ie=utf-8&rsv_ers=xn1&rs_src=0	2013-1-1 22:23:49
新2平台出租	4	4	0	0	0	0	0	6	5		2012-12-27 19:19:16
太阳城包杀	3	3	0	0	0	0	0	3	3		2012-12-30 0:53:03
site:ad388.com	3	2	1	0	0	0	0	4	2		2012-12-14 13:21:04
www.ad388.com	3	3	0	0	0	0	0	5	5		2012-12-5 11:49:29
百家乐包杀网	3	3	0	0	0	0	0	4	3	http://www.baidu.com/s?rsv_bp=0&dsp=ipad&rsv_spt=3&wd=%B0%D9%BC%D2%C0%D6%B0%FC%C9%B1%CD%F8&rsv_sugtime=560&oq=&rvs_sug2=1&f=3&rsp=1&inputT=2335&rsv_sug3=0&rsv_history=1	2013-1-2 9:41:19
百家乐平台出租	2	2	0	0	0	0	0	2	2		2012-11-29 12:05:23
www.hg6869.com	2	2	0	0	0	0	0	2	2		2012-12-21 23:39:16
皇冠网出租	2	2	0	0	0	0	0	2	2		2012-12-21 8:01:05
投注系统	2	2	0	0	0	0	0	2	2		2012-11-29 3:41:38
新2平台	2	2	0	0	0	0	0	1	1		2012-12-23 17:13:42
足球投注系统出租	1	1	0	0	0	0	0	2	2		2012-12-2 20:49:05
足球网出租	1	0	0	0	0	0	1	1	1		2012-12-28 21:29:19
王冠足球平台出租	1	0	0	0	0	0	1	1	1		2012-12-25 18:33:38
网上投注平台出租	1	1	0	0	0	0	0	1	1		2012-12-19 1:09:46
足球投注	1	1	0	0	0	0	0	1	1		2012-11-29 20:10:47
足球投注平台出租	1	1	0	0	0	0	0	1	1		2012-12-20 22:49:57
新2投注平台出租	1	1	0	0	0	0	0	1	1		2012-12-16 21:44:42
新2系统出租	1	1	0	0	0	0	0	1	1	http://www.baidu.com/s?wd=%E6%96%B02%E7%B3%BB%E7%BB%9F%E5%87%BA%E7%A7%9F&pn=10&ie=utf-8&usm=1&rsv_page=1	2012-12-31 20:46:41
新2足球平台出租	1	1	0	0	0	0	0	1	1		2012-12-24 6:03:15
新2足球系统出租	1	1	0	0	0	0	0	1	1		2012-12-27 2:22:05
新皇冠娱乐城包杀	1	1	0	0	0	0	0	1	1		2012-12-17 23:28:41
整套足球系统出租	1	1	0	0	0	0	0	1	1		2012-12-2 23:04:49
足球博彩平台出租	1	1	0	0	0	0	0	1	1		2012-11-29 18:18:33
ad388.com	1	1	0	0	0	0	0	1	1		2012-12-7 2:45:18
